Topic,Difficulty,Question,Option 1,Option 2,Option 3,Option 4,Correct Answer
List Comprehensions,Medium,Which keyword is used for filtering in list comprehensions?,if,for,in,filter,if
Data Structures,Easy,Which data structure does not allow duplicates?,List,Set,Dictionary,Tuple,Set
List Comprehensions,Hard,Which of the following creates a list of squares from 1 to 5?,"[x*x for x in range(1, 6)]",[x**2 for x in 1..5],"[x^2 for x in range(1, 6)]","[x*x for x in range(1, 5)]","[x*x for x in range(1, 6)]"
Error Handling,Easy,What type of error will be raised by this code: print(1/0)?,ValueError,TypeError,ZeroDivisionError,ArithmeticError,ZeroDivisionError
Generators,Medium,What is the key difference between a generator and a normal function?,A generator returns an iterator,A generator uses more memory,A generator cannot take arguments,There is no difference,A generator returns an iterator
Decorators,Hard,What is a decorator in Python?,A function that modifies another function,A variable in Python,A loop control statement,A class method,A function that modifies another function
List Comprehensions,Easy,Which keyword is used for filtering in list comprehensions?,if,for,in,filter,if
Functions,Medium,Which keyword is used to create a function in Python?,fun,function,def,lambda,def
List Comprehensions,Medium,What does this comprehension return: [x for x in range(10) if x%2 == 0]?,Even numbers,Odd numbers,Numbers divisible by 3,Prime numbers,Even numbers
OOP (Object-Oriented Programming),Medium,What is the difference between a class method and an instance method?,Class methods cannot access instance variables,Instance methods cannot access class variables,Class methods can access both instance and class variables,There is no difference,Class methods cannot access instance variables
File Handling,Medium,How do you properly close a file in Python?,end(),terminate(),close(),stop(),close()
Functions,Medium,Which keyword is used to create a function in Python?,fun,function,def,lambda,def
Error Handling,Hard,What type of error will be raised by this code: print(1/0)?,ValueError,TypeError,ZeroDivisionError,ArithmeticError,ZeroDivisionError
Decorators,Hard,What is a decorator in Python?,A function that modifies another function,A variable in Python,A loop control statement,A class method,A function that modifies another function
List Comprehensions,Medium,Which keyword is used for filtering in list comprehensions?,if,for,in,filter,if
List Comprehensions,Medium,Which keyword is used for filtering in list comprehensions?,if,for,in,filter,if
Data Types and Variables,Hard,What keyword is used to define a variable in Python?,let,var,def,No keyword is required,No keyword is required
Functions,Hard,What is the default return value of a Python function if no return is specified?,None,0,False,Error,None
Functions,Hard,How can you pass a variable number of arguments to a function?,*args,*var,**kwargs,*all,*args
File Handling,Easy,How do you properly close a file in Python?,end(),terminate(),close(),stop(),close()
Generators,Easy,What is the key difference between a generator and a normal function?,A generator returns an iterator,A generator uses more memory,A generator cannot take arguments,There is no difference,A generator returns an iterator
Functions,Easy,What is the default return value of a Python function if no return is specified?,None,0,False,Error,None
